========== Results of classification (test set) ==========
No.  sepal_length  sepal_width  petal_length  petal_width  label  classified_class
01  5.0  3.0  1.6  0.2  Iris-setosa  Iris-setosa
02  5.0  3.4  1.6  0.4  Iris-setosa  Iris-setosa
03  5.2  3.5  1.5  0.2  Iris-setosa  Iris-setosa
04  5.2  3.4  1.4  0.2  Iris-setosa  Iris-setosa
05  4.7  3.2  1.6  0.2  Iris-setosa  Iris-setosa
06  4.8  3.1  1.6  0.2  Iris-setosa  Iris-setosa
07  5.4  3.4  1.5  0.4  Iris-setosa  Iris-setosa
08  5.2  4.1  1.5  0.1  Iris-setosa  Iris-setosa
09  5.5  4.2  1.4  0.2  Iris-setosa  Iris-setosa
10  4.9  3.1  1.5  0.1  Iris-setosa  Iris-setosa
11  5.0  3.2  1.2  0.2  Iris-setosa  Iris-setosa
12  5.5  3.5  1.3  0.2  Iris-setosa  Iris-setosa
13  4.9  3.1  1.5  0.1  Iris-setosa  Iris-setosa
14  4.4  3.0  1.3  0.2  Iris-setosa  Iris-setosa
15  5.1  3.4  1.5  0.2  Iris-setosa  Iris-setosa
16  5.0  3.5  1.3  0.3  Iris-setosa  Iris-setosa
17  4.5  2.3  1.3  0.3  Iris-setosa  Iris-setosa
18  4.4  3.2  1.3  0.2  Iris-setosa  Iris-setosa
19  5.0  3.5  1.6  0.6  Iris-setosa  Iris-setosa
20  5.1  3.8  1.9  0.4  Iris-setosa  Iris-setosa
21  4.8  3.0  1.4  0.3  Iris-setosa  Iris-setosa
22  5.1  3.8  1.6  0.2  Iris-setosa  Iris-setosa
23  4.6  3.2  1.4  0.2  Iris-setosa  Iris-setosa
24  5.3  3.7  1.5  0.2  Iris-setosa  Iris-setosa
25  5.0  3.3  1.4  0.2  Iris-setosa  Iris-setosa
26  6.6  3.0  4.4  1.4  Iris-versicolor  Iris-versicolor
27  6.8  2.8  4.8  1.4  Iris-versicolor  Iris-versicolor
28  6.7  3.0  5.0  1.7  Iris-versicolor  Iris-versicolor
29  6.0  2.9  4.5  1.5  Iris-versicolor  Iris-versicolor
30  5.7  2.6  3.5  1.0  Iris-versicolor  Iris-versicolor
31  5.5  2.4  3.8  1.1  Iris-versicolor  Iris-versicolor
32  5.5  2.4  3.7  1.0  Iris-versicolor  Iris-versicolor
33  5.8  2.7  3.9  1.2  Iris-versicolor  Iris-versicolor
34  6.0  2.7  5.1  1.6  Iris-versicolor  Iris-virginica    # classification mismatched
35  5.4  3.0  4.5  1.5  Iris-versicolor  Iris-versicolor
36  6.0  3.4  4.5  1.6  Iris-versicolor  Iris-versicolor
37  6.7  3.1  4.7  1.5  Iris-versicolor  Iris-versicolor
38  6.3  2.3  4.4  1.3  Iris-versicolor  Iris-versicolor
39  5.6  3.0  4.1  1.3  Iris-versicolor  Iris-versicolor
40  5.5  2.5  4.0  1.3  Iris-versicolor  Iris-versicolor
41  5.5  2.6  4.4  1.2  Iris-versicolor  Iris-versicolor
42  6.1  3.0  4.6  1.4  Iris-versicolor  Iris-versicolor
43  5.8  2.6  4.0  1.2  Iris-versicolor  Iris-versicolor
44  5.0  2.3  3.3  1.0  Iris-versicolor  Iris-versicolor
45  5.6  2.7  4.2  1.3  Iris-versicolor  Iris-versicolor
46  5.7  3.0  4.2  1.2  Iris-versicolor  Iris-versicolor
47  5.7  2.9  4.2  1.3  Iris-versicolor  Iris-versicolor
48  6.2  2.9  4.3  1.3  Iris-versicolor  Iris-versicolor
49  5.1  2.5  3.0  1.1  Iris-versicolor  Iris-versicolor
