========== Results of clustering (training set) ==========
No.  sepal_length  sepal_width  petal_length  petal_width  label  clustered_class
01  5.1  3.5  1.4  0.2  Iris-setosa  class_3
02  4.9  3.0  1.4  0.2  Iris-setosa  class_3
03  4.7  3.2  1.3  0.2  Iris-setosa  class_3
04  4.6  3.1  1.5  0.2  Iris-setosa  class_3
05  5.0  3.6  1.4  0.2  Iris-setosa  class_3
06  5.4  3.9  1.7  0.4  Iris-setosa  class_3
07  4.6  3.4  1.4  0.3  Iris-setosa  class_3
08  5.0  3.4  1.5  0.2  Iris-setosa  class_3
09  4.4  2.9  1.4  0.2  Iris-setosa  class_3
10  4.9  3.1  1.5  0.1  Iris-setosa  class_3
11  5.4  3.7  1.5  0.2  Iris-setosa  class_3
12  4.8  3.4  1.6  0.2  Iris-setosa  class_3
13  4.8  3.0  1.4  0.1  Iris-setosa  class_3
14  4.3  3.0  1.1  0.1  Iris-setosa  class_3
15  5.8  4.0  1.2  0.2  Iris-setosa  class_3
16  5.7  4.4  1.5  0.4  Iris-setosa  class_3
17  5.4  3.9  1.3  0.4  Iris-setosa  class_3
18  5.1  3.5  1.4  0.3  Iris-setosa  class_3
19  5.7  3.8  1.7  0.3  Iris-setosa  class_3
20  5.1  3.8  1.5  0.3  Iris-setosa  class_3
21  5.4  3.4  1.7  0.2  Iris-setosa  class_3
22  5.1  3.7  1.5  0.4  Iris-setosa  class_3
23  4.6  3.6  1.0  0.2  Iris-setosa  class_3
24  5.1  3.3  1.7  0.5  Iris-setosa  class_3
25  4.8  3.4  1.9  0.2  Iris-setosa  class_3
26  7.0  3.2  4.7  1.4  Iris-versicolor  class_1
27  6.4  3.2  4.5  1.5  Iris-versicolor  class_2
28  6.9  3.1  4.9  1.5  Iris-versicolor  class_1
29  5.5  2.3  4.0  1.3  Iris-versicolor  class_2
30  6.5  2.8  4.6  1.5  Iris-versicolor  class_2
31  5.7  2.8  4.5  1.3  Iris-versicolor  class_2
32  6.3  3.3  4.7  1.6  Iris-versicolor  class_2
33  4.9  2.4  3.3  1.0  Iris-versicolor  class_2
34  6.6  2.9  4.6  1.3  Iris-versicolor  class_2
35  5.2  2.7  3.9  1.4  Iris-versicolor  class_2
36  5.0  2.0  3.5  1.0  Iris-versicolor  class_2
37  5.9  3.0  4.2  1.5  Iris-versicolor  class_2
38  6.0  2.2  4.0  1.0  Iris-versicolor  class_2
39  6.1  2.9  4.7  1.4  Iris-versicolor  class_2
40  5.6  2.9  3.6  1.3  Iris-versicolor  class_2
41  6.7  3.1  4.4  1.4  Iris-versicolor  class_2
42  5.6  3.0  4.5  1.5  Iris-versicolor  class_2
43  5.8  2.7  4.1  1.0  Iris-versicolor  class_2
44  6.2  2.2  4.5  1.5  Iris-versicolor  class_2
45  5.6  2.5  3.9  1.1  Iris-versicolor  class_2
46  5.9  3.2  4.8  1.8  Iris-versicolor  class_2
47  6.1  2.8  4.0  1.3  Iris-versicolor  class_2
48  6.3  2.5  4.9  1.5  Iris-versicolor  class_2
49  6.1  2.8  4.7  1.2  Iris-versicolor  class_2
50  6.4  2.9  4.3  1.3  Iris-versicolor  class_2
51  6.3  3.3  6.0  2.5  Iris-virginica  class_1
52  5.8  2.7  5.1  1.9  Iris-virginica  class_2
53  7.1  3.0  5.9  2.1  Iris-virginica  class_1
54  6.3  2.9  5.6  1.8  Iris-virginica  class_1
55  6.5  3.0  5.8  2.2  Iris-virginica  class_1
56  7.6  3.0  6.6  2.1  Iris-virginica  class_1
57  4.9  2.5  4.5  1.7  Iris-virginica  class_2
58  7.3  2.9  6.3  1.8  Iris-virginica  class_1
59  6.7  2.5  5.8  1.8  Iris-virginica  class_1
60  7.2  3.6  6.1  2.5  Iris-virginica  class_1
61  6.5  3.2  5.1  2.0  Iris-virginica  class_1
62  6.4  2.7  5.3  1.9  Iris-virginica  class_1
63  6.8  3.0  5.5  2.1  Iris-virginica  class_1
64  5.7  2.5  5.0  2.0  Iris-virginica  class_2
65  5.8  2.8  5.1  2.4  Iris-virginica  class_1
66  6.4  3.2  5.3  2.3  Iris-virginica  class_1
67  6.5  3.0  5.5  1.8  Iris-virginica  class_1
68  7.7  3.8  6.7  2.2  Iris-virginica  class_1
69  7.7  2.6  6.9  2.3  Iris-virginica  class_1
70  6.0  2.2  5.0  1.5  Iris-virginica  class_2
71  6.9  3.2  5.7  2.3  Iris-virginica  class_1
72  5.6  2.8  4.9  2.0  Iris-virginica  class_2
73  7.7  2.8  6.7  2.0  Iris-virginica  class_1
74  6.3  2.7  4.9  1.8  Iris-virginica  class_2
75  6.7  3.3  5.7  2.1  Iris-virginica  class_1

======================= Summary =======================
Training data size: 75
Test data size: 75
Iterations of k-means clustering: 6
